stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.322025,1,54456,-123.074863,4506,,,,Eastbound W 15 St @ Chesterfield Ave,0,BUS ZN
49.3199,1,54451,-123.087019,4501,,,,Eastbound W Keith Rd @ Delbruck Ave,0,BUS ZN
49.319929,1,54450,-123.090448,4500,,,,Eastbound W Keith Rd @ Bewicke Ave,0,BUS ZN
49.320339,1,54453,-123.081636,4503,,,,Northbound Jones Ave @ W Keith Rd,0,BUS ZN
49.319866,1,54452,-123.084432,4502,,,,Eastbound W Keith Rd @ Forbes Ave,0,BUS ZN
49.3219,1,54459,-123.062698,4509,,,,Eastbound E 15 St @ Ridgeway Ave,0,BUS ZN
49.321934,1,54458,-123.065414,4508,,,,Eastbound E 15 St @ St. Andrews Ave,0,BUS ZN
49.269638,1,52065,-123.140065,2082,,,,Eastbound W 2nd Ave @ Fir St,0,BUS ZN
49.269468,1,58661,-123.138366,2083,,,,Eastbound W 2nd Ave @ Anderson St,0,BUS ZN
49.268248,1,52087,-123.140709,2081,,,,Northbound Fir St @ W 4th Ave,0,BUS ZN
49.26632,1,52069,-123.128703,2086,,,,Eastbound Lameys Mill Rd @ Sitka Square,0,BUS ZN
49.267431,1,52067,-123.135141,2084,,,,Eastbound Lameys Mill Rd @ Fountain Way Court,0,BUS ZN
49.266544,2,52068,-123.131643,2085,,,,Eastbound Lameys Mill Rd @ Alder Crossing,0,BUS ZN
49.24395,1,61452,-122.720621,11653,,,,Westbound Lougheed Hwy @ Old Dewdney Trunk Rd,0,BUS ZN
49.23874,1,53384,-122.862739,11651,,,,Westbound Brunette Ave @ Marmont St,0,BUS ZN
49.253669,2,61595,-122.742982,11654,,,,Westbound Lougheed Hwy @ Sherling Ave,0,BUS ZN
49.23189,1,59809,-122.793288,11655,,,,Northbound Citadel Dr @ O'Flaherty Gate,0,BUS ZN
49.135001,1,58617,-123.034978,9005,,,,Eastbound River Rd @ 68 St,0,BUS ZN
49.027543,1,56111,-122.811621,6169,,,,Eastbound Thrift Ave @ Oxford St,0,BUS ZN
49.167916,1,57248,-122.588666,7319,,,,Northbound Trattle St @ 9000 Block,0,BUS ZN
49.165546,1,57247,-122.589368,7318,,,,Northbound Trattle St @ Houston Ave,0,BUS ZN
49.162756,2,57244,-122.607616,7315,,,,Eastbound 88 Ave @ 222A St,0,BUS ZN
49.162633,1,57243,-122.614152,7314,,,,Eastbound 88 Ave @ 22000 Block,0,BUS ZN
49.163141,1,57246,-122.590039,7317,,,,Northbound Trattle St @ 88 Ave,0,BUS ZN
49.162722,1,57245,-122.592694,7316,,,,Eastbound 88 Ave @ Wright St,0,BUS ZN
49.162127,2,57240,-122.632424,7311,,,,Eastbound 88 Ave @ 212 St,0,BUS ZN
49.162372,1,57239,-122.639346,7310,,,,Eastbound 88 Ave @ Walnut Grove Dr,0,BUS ZN
49.161849,1,57242,-122.623415,7313,,,,Eastbound 88 Ave @ 216 St,0,BUS ZN
49.16191,2,57241,-122.626809,7312,,,,Eastbound 88 Ave @ 214B St,0,BUS ZN
49.129682,1,60760,-122.690987,11902,,,,Southbound 192 St @ 70 Ave,0,BUS ZN
49.133736,1,60767,-122.691418,11903,,,,Westbound 72 Ave @ 192 St,0,BUS ZN
49.130327,1,60766,-122.690724,11900,,,,Northbound 192 St @ 70 Ave,0,BUS ZN
49.133016,1,60759,-122.690955,11901,,,,Southbound 192 St @ 72 Ave,0,BUS ZN
49.215907,1,52485,-122.924286,11906,,,,Westbound 8th Ave @ 6th St,0,BUS ZN
49.133659,1,61799,-122.822719,11907,,,,Eastbound 72 Ave @ 144 St,0,BUS ZN
49.278379,1,58693,-122.770071,12302,,,,Eastbound Lincoln Ave @ Flint St,0,BUS ZN
49.133635,1,61798,-122.811447,11908,,,,Eastbound 72 Ave @ 148 St,0,BUS ZN
49.216205,1,61737,-122.923443,11909,,,,Eastbound 8th Ave @ 6th St,0,BUS ZN
49.258456,1,60030,-122.73438,12309,,,,Westbound Dominion Ave @ 500 Block,0,BUS ZN
49.258318,1,60031,-122.734582,12308,,,,Eastbound Dominion Ave @ Fremont St,0,BUS ZN
49.323923,1,60647,-123.072194,12908,,,,Northbound Lonsdale Ave @ E 17 St,0,BUS ZN
49.305369,1,60257,-123.029619,12902,,,,Phibbs Exchange @ Bay 5,0,BUS ZN
49.305041,1,60256,-123.02981,12901,,,,Phibbs Exchange @ Bay 4,0,BUS ZN
49.304904,1,60255,-123.029461,12900,,,,Phibbs Exchange @ Bay 3,0,BUS ZN
49.074549,1,58645,-122.652729,9014,,,,Eastbound 40 Ave @ 206A St,0,BUS ZN
49.237956,1,58649,-122.834041,9015,,,,Northbound Mundy St @ Palliser Ave,0,BUS ZN
49.221627,2,59675,-123.012703,10231,,,,Southbound Patterson Ave @ Imperial St,0,BUS ZN
49.195023,1,56966,-123.082141,7033,,,,Westbound Vulcan Way @ Sweden Way,0,BUS ZN
49.193935,1,56967,-123.088263,7034,,,,Westbound Vulcan Way @ 12200 Block,0,BUS ZN
49.193513,1,56968,-123.091588,7035,,,,Southbound No. 5 Rd @ Vulcan Way,0,BUS ZN
49.215171,2,59678,-123.0123,10235,,,,Northbound Patterson Ave @ Rumble St,0,BUS ZN
49.192039,1,56970,-123.09622,7037,,,,Westbound Bridgeport Rd @ Olafsen Ave,0,BUS ZN
49.192074,1,56971,-123.099656,7038,,,,Westbound Bridgeport Rd @ Simpson Rd,0,BUS ZN
49.192076,1,56972,-123.103179,7039,,,,Westbound Bridgeport Rd @ Shell Rd,0,BUS ZN
49.20769,2,59690,-122.97389,10239,,,,Northbound Gilley Ave @ Keith St,0,BUS ZN
49.275065,1,61436,-122.790344,9018,,,,Northbound Westwood St @ Kitchener Ave,0,BUS ZN
49.031078,2,56105,-122.825372,6163,,,,Eastbound North Bluff Rd @ Kerfoot Rd,0,BUS ZN
49.031065,2,56106,-122.822839,6164,,,,Eastbound North Bluff Rd @ Archibald Rd,0,BUS ZN
49.030747,1,56109,-122.812296,6167,,,,Southbound Oxford St @ North Bluff Rd,0,BUS ZN
49.031058,1,56108,-122.814488,6166,,,,Eastbound North Bluff Rd @ Anderson St,0,BUS ZN
49.029756,1,56142,-122.812115,6201,,,,Northbound Oxford St @ Russell Ave,0,BUS ZN
49.214389,1,57714,-122.646084,7788,,,,Westbound 117 Ave @ Graves St,0,BUS ZN
49.212763,1,57715,-122.6481,7789,,,,Southbound 207 St @ River Rd West,0,BUS ZN
49.215145,2,57712,-122.63641,7786,,,,Westbound 117 Ave @ Fraserview St,0,BUS ZN
49.21459,1,57713,-122.639891,7787,,,,Westbound 117 Ave @ 210 St,0,BUS ZN
49.214484,1,57710,-122.631834,7784,,,,Northbound Laity St @ Ridge Meadows Hospital,0,BUS ZN
49.215171,1,57711,-122.632456,7785,,,,Westbound 117 Ave @ Laity St,0,BUS ZN
49.213545,2,57708,-122.629401,7782,,,,Westbound River Rd @ Pine St,0,BUS ZN
49.213189,1,57709,-122.63146,7783,,,,Westbound River Rd @ Laity St,0,BUS ZN
49.21408,1,57706,-122.622562,7780,,,,Westbound River Rd @ 216 St,0,BUS ZN
49.213828,1,57707,-122.626837,7781,,,,Westbound River Rd @ Darby St,0,BUS ZN
49.20811,1,50865,-123.140711,9135,,,,Southbound Granville St @ W 70 Ave,0,BUS ZN
49.22204,1,50997,-123.116425,1006,,,,Northbound Cambie St @ W 54 Ave,0,BUS ZN
49.217289,1,50995,-123.116608,1004,,,,Northbound Cambie St @ W 59 Ave,0,BUS ZN
49.350572,1,54301,-123.108053,4349,,,,Southbound Capilano Rd @ Edgewood Rd,0,BUS ZN
49.35273,1,54300,-123.107329,4348,,,,Southbound Capilano Rd @ Handsworth Rd,0,BUS ZN
49.354149,1,54299,-123.106771,4347,,,,Southbound Capilano Rd @ Teviot Place,0,BUS ZN
49.356261,1,54298,-123.103237,4346,,,,Westbound Montroyal Blvd @ Belvedere Dr,0,BUS ZN
49.356436,1,54297,-123.100144,4345,,,,Southbound Cliffridge Ave @ Montroyal Blvd,0,BUS ZN
49.357989,2,54296,-123.100098,4344,,,,Eastbound Clements Ave @ Cliffridge Ave,0,BUS ZN
49.357976,2,54295,-123.102923,4343,,,,Eastbound Clements Ave @ 1000 Block,0,BUS ZN
49.35797,2,54548,-123.106332,4342,,,,Eastbound Clements Ave @ Capilano Rd,0,BUS ZN
49.357688,1,58049,-123.106788,4341,,,,Southbound Capilano Rd @ Clements Ave,0,BUS ZN
49.364049,2,54293,-123.103349,4340,,,,Southbound Nancy Greene Way @ Blue Grouse Way,0,BUS ZN
49.257005,1,61121,-123.11568,11019,,,,Westbound W 16 Ave @ Cambie St,0,BUS ZN
49.256969,1,61096,-123.127706,11014,,,,Eastbound W 16 Ave @ Oak St,0,BUS ZN
49.240047,1,61112,-123.064935,11015,,,,Westbound E 33 Ave @ Victoria Dr,0,BUS ZN
49.257525,1,61090,-123.167913,11016,,,,Eastbound W 16 Ave @ Macdonald St,0,BUS ZN
49.240241,1,61104,-123.089815,11010,,,,Eastbound E 33 Ave @ Fraser St,0,BUS ZN
49.240276,1,61114,-123.076877,11011,,,,Westbound E 33 Ave @ Knight St,0,BUS ZN
49.257204,1,61093,-123.15198,11013,,,,Eastbound W 16 Ave @ East Blvd,0,BUS ZN
49.164897,2,58181,-122.925992,8615,,,,Southbound Brooke Rd @ River Rd,0,BUS ZN
49.141096,1,58195,-123.170797,8617,,,,Westbound Williams Rd @ Geal Rd,0,BUS ZN
49.31572,1,58161,-123.024145,8613,,,,Southbound Lillooet Rd @ 1000 Block,0,BUS ZN
49.250063,1,58160,-123.019709,8612,,,,Northbound Smith Ave @ Sunset St,0,BUS ZN
49.191894,1,58210,-123.111724,8619,,,,Eastbound Bridgeport Rd @ St. Edwards Dr,0,BUS ZN
49.135065,1,58209,-123.158975,8618,,,,Southbound No. 2 Rd @ Spender Dr,0,BUS ZN
49.118438,1,59085,-122.690508,11331,,,,Eastbound Fraser Hwy @ 64 Ave,0,BUS ZN
49.017925,1,56197,-122.794242,11330,,,,Westbound Marine Dr @ Balsam St,0,BUS ZN
49.236949,1,51725,-123.022912,11333,,,,Eastbound Burke St @ Boundary Rd,0,BUS ZN
49.162839,1,56782,-123.165377,6847,,,,Westbound Granville Ave @ Lynas Lane,0,BUS ZN
49.274016,1,50085,-123.121965,11337,,,,Yaletown-Roundhouse Station @ Bay 3,0,BUS ZN
49.177725,1,55664,-122.856698,5719,,,,Northbound 132 St @ 96 Ave,0,BUS ZN
49.172883,1,55663,-122.856741,5718,,,,Northbound 132 St @ Huntley Ave,0,BUS ZN
49.17017,1,55662,-122.85676,5717,,,,Northbound 132 St @ 92 Ave,0,BUS ZN
49.166579,1,55661,-122.856773,5716,,,,Northbound 132 St @ 90 Ave,0,BUS ZN
49.163009,1,55660,-122.856776,5715,,,,Northbound 132 St @ 88 Ave,0,BUS ZN
49.160706,1,55659,-122.856787,5714,,,,Northbound 132 St @ Shakespeare Place,0,BUS ZN
49.155731,2,55658,-122.856726,5713,,,,Northbound 132 St @ 84 Ave,0,BUS ZN
49.152928,2,55657,-122.856727,5712,,,,Northbound 132 St @ 82A Ave,0,BUS ZN
49.151125,1,55656,-122.856702,5711,,,,Northbound 132 St @ 81A Ave,0,BUS ZN
49.148507,1,55655,-122.856704,5710,,,,Northbound 132 St @ 80 Ave,0,BUS ZN
49.263101,1,50920,-123.105291,928,,,,Westbound W Broadway @ Ontario St,0,BUS ZN
49.19845,1,61288,-122.778802,11489,,,,Southbound 160 St @ 108 Ave,0,BUS ZN
49.200713,1,61497,-122.785073,11487,,,,Northbound 157A St @ 10900 Block,0,BUS ZN
49.266846,1,50605,-123.24331,11486,,,,Westbound University Blvd @ Allison Rd,0,BUS ZN
49.289693,1,50628,-123.132542,11485,,,,Westbound Robson St @ Cardero St,0,BUS ZN
49.288152,1,50627,-123.130152,11484,,,,Westbound Robson St @ Broughton St,0,BUS ZN
49.283556,1,50624,-123.123086,11481,,,,Westbound Robson St @ Burrard St,0,BUS ZN
49.263212,1,50921,-123.109868,929,,,,Westbound W Broadway @ Columbia St,0,BUS ZN
49.069609,1,57173,-122.537425,7244,,,,Westbound Fraser Hwy @ 248 St,0,BUS ZN
49.28616,1,53312,-123.118293,12681,,,,Burrard Station @ Bay 6,0,BUS ZN
49.312929,1,60380,-123.077751,12682,,,,Southbound Lonsdale Ave @ W 3rd St,0,BUS ZN
49.324309,1,60376,-123.121976,12683,,,,Westbound Marine Dr @ Capilano Rd,0,BUS ZN
49.323766,1,60405,-123.106585,12685,,,,Eastbound Marine Dr @ Pemberton Ave,0,BUS ZN
49.314479,1,60407,-123.079648,12686,,,,Eastbound W 3rd St @ Chesterfield Ave,0,BUS ZN
49.313704,1,60406,-123.077479,12687,,,,Westbound W 3rd St @ Lonsdale Ave,0,BUS ZN
49.299145,1,60462,-122.819247,12689,,,,Eastbound Panorama Dr @ Sandstone Cres,0,BUS ZN
49.313876,1,54174,-123.056468,10827,,,,Northbound Grand Blvd East @ E Keith Rd,0,BUS ZN
49.344757,2,61002,-123.167619,10822,,,,(Southbound Westhill Dr In 2000-Block Area) @ 2000 Block (Flag),0,BUS ZN
49.339827,2,61003,-123.168067,10823,,,,(Southbound 21 St In Ottawa Ave Area) @ Ottawa Ave (Flag),0,BUS ZN
49.344317,2,61000,-123.172086,10820,,,,(Westbound Skilift Rd In Folkestone Way Area) @ Folkestone Way (Flag),0,BUS ZN
49.349093,2,61001,-123.177404,10821,,,,(Northbound Folkestone Way In Chippendale Rd Area) @ Chippendale Rd (Flag),0,BUS ZN
49.122855,1,60990,-122.651312,10828,,,,Northbound 206 St @ 66 Ave,0,BUS ZN
49.126159,1,60987,-122.65239,10829,,,,Westbound 68 Ave @ 206 St,0,BUS ZN
49.137505,1,55041,-122.888277,5093,,,,Scottsdale Exchange @ Bay 2,0,BUS ZN
49.136763,1,55045,-122.901358,5097,,,,Northbound 116 St @ 73A Ave,0,BUS ZN
49.287432,1,54447,-123.125567,4497,,,,Westbound W Georgia St @ Bute St,0,BUS ZN
49.28232,1,58504,-123.117661,4495,,,,Westbound W Georgia St @ Granville St,0,BUS ZN
49.280921,1,54444,-123.115491,4494,,,,Westbound W Georgia St @ Homer St,0,BUS ZN
49.214773,1,52638,-122.993362,2663,,,,Eastbound Rumble St @ Nelson Ave,0,BUS ZN
49.265535,1,58805,-122.77606,9379,,,,Westbound Mall Access Rd @ Shaughnessy St,0,BUS ZN
49.265558,2,58804,-122.773711,9378,,,,Westbound Oxford Connector @ 2000 Block,0,BUS ZN
49.327118,1,54441,-123.138911,4491,,,,Park Royal @ Bay 2,0,BUS ZN
49.271579,1,58793,-122.767086,9371,,,,Northbound Oxford St @ Prairie Ave,0,BUS ZN
49.275149,1,58801,-122.767246,9370,,,,Southbound Oxford St @ Laurier Ave,0,BUS ZN
49.274955,1,58786,-122.767154,9372,,,,Northbound Oxford St @ Laurier Ave,0,BUS ZN
49.278129,1,58803,-122.756188,9376,,,,Southbound Coast Meridian Rd @ Lincoln Ave,0,BUS ZN
49.235129,1,51815,-123.055396,1829,,,,Northbound Clarendon St @ E 39 Ave,0,BUS ZN
49.23319,1,51814,-123.055335,1828,,,,Northbound Clarendon St @ E 41 Ave,0,BUS ZN
49.228739,1,51811,-123.054556,1825,,,,Northbound Elliott St @ E 46 Ave,0,BUS ZN
49.225178,1,51810,-123.054616,1824,,,,Northbound Elliott St @ E 49 Ave,0,BUS ZN
49.231191,2,51813,-123.055124,1827,,,,Northbound Clarendon St @ E 43 Ave,0,BUS ZN
49.227113,1,51812,-123.054592,1826,,,,Northbound Elliott St @ Waverley Ave,0,BUS ZN
49.218226,1,51807,-123.054997,1821,,,,Eastbound Ashburn St @ Elliott St,0,BUS ZN
49.217274,1,51806,-123.055257,1820,,,,Northbound Muirfield Dr @ Lynbrook Dr,0,BUS ZN
49.222238,1,51809,-123.054709,1823,,,,Northbound Elliott St @ E 52 Ave,0,BUS ZN
49.220497,1,51808,-123.0548,1822,,,,Northbound Elliott St @ E 54 Ave,0,BUS ZN
49.16795,1,58448,-122.961255,2411,,,,Westbound Cliveden Ave @ 1400 Block,0,BUS ZN
49.169238,1,52386,-122.956987,2410,,,,Westbound Cliveden Ave @ Cliveden Place,0,BUS ZN
49.164457,1,52389,-122.969491,2413,,,,Westbound Cliveden Ave @ Hampstead Close,0,BUS ZN
49.166551,1,52388,-122.964313,2412,,,,Westbound Cliveden Ave @ Eaton Way,0,BUS ZN
49.1713,2,54926,-122.911158,4978,,,,Southbound 112 St @ 92A Ave,0,BUS ZN
49.226075,1,52390,-123.003117,2414,,,,Metrotown Station @ Bay 7,0,BUS ZN
49.227881,1,52393,-122.998248,2417,,,,Eastbound Kingsway @ Sussex Ave,0,BUS ZN
49.229202,1,52392,-123.002247,2416,,,,Eastbound Kingsway @ McKay Ave,0,BUS ZN
49.225628,1,52395,-122.991139,2419,,,,Eastbound Kingsway @ Marlborough Ave,0,BUS ZN
49.226457,1,52394,-122.993821,2418,,,,Eastbound Kingsway @ Nelson Ave,0,BUS ZN
49.173425,1,54924,-122.906874,4976,,,,Southbound 114 St @ Dawson Cres,0,BUS ZN
49.171565,1,54925,-122.907455,4977,,,,Southbound 114 St @ 92A Ave,0,BUS ZN
49.181778,1,54919,-122.890406,4971,,,,Southbound Scott Rd @ 99 Ave,0,BUS ZN
49.177231,1,54920,-122.890965,4972,,,,Westbound 96 Ave @ Scott Rd,0,BUS ZN
49.177194,1,54921,-122.896846,4973,,,,Westbound 96 Ave @ 117B St,0,BUS ZN
49.31089,2,53241,-122.857692,3276,,,,Northbound Sunnyside Rd @ Alder Way,0,BUS ZN
49.314796,1,53242,-122.855634,3277,,,,Northbound Sunnyside Rd @ East Rd,0,BUS ZN
49.302877,1,53239,-122.874617,3274,,,,Southbound 2nd Ave @ Ioco Rd,0,BUS ZN
49.307873,2,53240,-122.86469,3275,,,,Eastbound Sunnyside Rd @ 2000 Block,0,BUS ZN
49.299031,1,53237,-122.864416,3272,,,,Westbound Ioco Rd @ April Rd,0,BUS ZN
49.303024,1,53238,-122.873386,3273,,,,Northbound 1st Ave @ Ioco Rd,0,BUS ZN
