from_trip_id,to_stop_id,from_stop_id,to_trip_id,transfer_type,min_transfer_time
,12716,11243,,2,300
,210,1592,,0,240
,8753,8907,,0,240
,11282,11354,,2,300
,3806,3779,,0,240
,1401,11874,,2,360
,6455,4845,,0,240
,13013,6088,,2,420
,7890,10295,,0,240
,12405,2717,,2,300
,2630,2799,,0,240
,12669,761,,2,300
,1394,1858,,0,240
,3331,12272,,0,240
,3057,3057,,0,240
,8753,1091,,2,300
,10745,11285,,2,300
,35,10553,,2,300
,6684,6603,,2,300
,409,8077,,2,300
,3565,3515,,2,300
,8683,8697,,0,240
,11243,11243,,0,240
,8685,8691,,0,240
,3904,3533,,0,240
,5436,5436,,0,240
,12241,12232,,0,240
,2160,1337,,2,600
,5796,5761,,2,360
,11095,906,,0,240
,11704,6174,,2,300
,6648,6908,,0,240
,1401,11879,,2,420
,10202,8067,,0,240
,6114,5828,,0,240
,12791,12791,,0,240
,599,354,,2,300
,11095,8752,,2,300
,11623,668,,0,240
,5567,4933,,0,240
,6126,6103,,2,360
,74,75,,0,240
,11810,11801,,0,240
,8412,12946,,0,240
,11940,8033,,2,120
,8020,12020,,2,120
,1833,1076,,0,240
,12393,1832,,0,240
,11337,11310,,2,300
,10866,8036,,2,120
,8847,8847,,0,240
,524,11529,,0,240
,12873,1329,,0,240
,10921,1736,,0,240
,78,1016,,2,480
,12764,11278,,2,360
,542,4879,,2,360
,1463,2787,,0,240
,12949,5700,,0,240
,10513,415,,2,360
,12362,11792,,2,360
,12946,8412,,0,240
,11759,11760,,0,240
,4304,4323,,0,240
,12332,12231,,0,240
,12947,8368,,2,360
,12173,7207,,2,300
,8052,10929,,0,240
,11088,12548,,2,300
,5768,11882,,0,240
,5230,5553,,0,240
,11757,10856,,2,300
,863,863,,0,240
,423,1586,,0,240
,3394,3195,,0,240
,8039,11303,,2,360
,722,694,,2,300
,5464,5509,,0,240
,8757,8679,,0,240
,8847,8820,,0,240
,5034,5656,,0,240
,3533,12234,,0,240
,10021,8659,,2,480
,6340,6173,,2,300
,6467,5769,,2,300
,10799,11281,,2,300
,3613,3548,,2,300
,3906,3204,,0,240
,8535,409,,0,240
,322,110,,0,240
,13018,5975,,0,240
,8483,8283,,2,300
,36,10591,,2,480
,8688,12227,,0,240
,1563,1793,,0,240
,3906,3394,,0,240
,4018,4228,,0,240
,1147,850,,2,360
,8687,8755,,0,240
,6944,6919,,0,240
,8023,11559,,2,120
,2527,2418,,2,360
,8040,409,,2,300
,12952,12901,,0,240
,8747,9952,,0,240
,3064,9379,,2,300
,8754,8913,,2,360
,318,318,,0,240
,4504,4517,,0,240
,2833,2414,,2,120
,11127,5067,,2,300
,2630,8051,,0,240
14879234,11434,11434,14879083,4,0
,11943,10860,,0,240
,48,98,,2,300
,2268,2321,,0,240
,4052,4004,,2,300
,646,744,,0,240
,1283,184,,2,360
,5543,6195,,2,300
,11535,1016,,2,120
,5675,5127,,0,240
,11526,10399,,2,300
,5769,10881,,2,300
,11589,1231,,0,240
,6077,5509,,0,240
,5419,5274,,0,240
,11710,11719,,0,240
15073140,10811,10811,15073157,4,0
,11525,8041,,2,360
,4494,12535,,2,300
,10885,10888,,0,240
,10068,10068,,0,240
,1394,1393,,2,360
,3723,13037,,2,480
,9239,9239,,0,240
,3023,3023,,0,240
,1170,1170,,0,240
,5769,5769,,0,240
,4447,4599,,0,240
,3204,12235,,0,240
,95,859,,2,360
,8061,10884,,2,300
,10827,10827,,0,240
,1865,10092,,2,300
,1327,12873,,2,480
,2028,1679,,0,240
,2769,1391,,0,240
,6164,6204,,0,240
,5673,5661,,2,300
,11274,11311,,2,420
,8037,10865,,0,240
,1875,12972,,0,240
,8689,8688,,0,240
,6088,6088,,0,240
,613,1,,0,240
,7591,6727,,2,120
,5793,5494,,2,120
,7562,7444,,0,240
,3394,3334,,0,240
,7501,7501,,0,240
,8683,10017,,0,240
,1387,1387,,0,240
,9494,3056,,2,360
,2057,774,,0,240
,718,12668,,0,240
,5539,5539,,0,240
,3878,3898,,2,300
,11874,11874,,0,240
,11801,11810,,0,240
,12866,423,,0,240
,5072,5104,,0,240
,8743,8673,,2,420
,7100,7100,,0,240
,10349,10335,,0,240
,12687,4204,,2,300
,11283,11354,,2,300
,337,11021,,2,300
,6631,8295,,2,300
,179,12818,,2,360
,2738,11529,,2,360
,1576,1308,,0,240
,2266,11909,,0,240
,11707,11707,,0,240
,9243,9243,,0,240
,8030,11559,,2,120
,3906,3334,,0,240
,3334,8032,,2,120
,313,1604,,2,360
,2409,6086,,0,240
,12183,1660,,0,240
,6077,5593,,0,240
,1685,1736,,0,240
,3548,3133,,2,300
,8068,12406,,0,240
,1042,11013,,0,240
,1086,1544,,0,240
,11248,11289,,0,240
,5287,5805,,2,360
,10429,2477,,0,240
,6195,11704,,2,420
,12240,12232,,0,240
,1886,10092,,2,300
,11204,13054,,0,240
,8552,8578,,0,240
,8561,8573,,0,240
,10823,4750,,0,240
,12647,8021,,2,120
,12639,10316,,2,360
,11616,11526,,2,300
,10412,8922,,2,300
,2035,1218,,0,240
,12546,6734,,2,300
,9560,6805,,0,240
,6489,6820,,0,240
,10481,604,,0,240
,6734,6734,,0,240
,11764,10880,,2,360
,8674,8673,,0,240
,11229,8021,,2,120
,12411,12409,,0,240
,887,176,,2,300
,5891,8057,,2,300
,11811,11801,,0,240
,3535,8065,,0,240
,3731,3695,,0,240
,11250,11288,,0,240
,4228,4043,,0,240
,1558,1554,,0,240
,8068,2717,,0,240
,10865,8036,,0,240
,76,9112,,2,480
,8031,3816,,2,120
,6455,5997,,0,240
,11302,8034,,2,480
,2799,2477,,0,240
,12363,11792,,2,360
,12947,8412,,0,240
,122,1276,,2,300
,1387,2742,,0,240
,9337,9337,,0,240
,3204,3904,,0,240
,12242,3207,,2,360
,5542,11704,,0,240
,235,181,,0,240
,4248,4296,,0,240
,6843,6884,,2,300
,11613,9848,,2,360
,11710,8064,,0,240
,8073,8754,,2,360
,9564,6646,,0,240
,5138,11128,,0,240
,5456,11074,,0,240
,11269,11256,,0,240
,11876,8759,,0,240
,12375,9307,,2,300
,10879,4228,,0,240
,1105,11023,,0,240
,4500,4567,,2,300
,1709,12318,,0,240
,8417,12947,,2,360
,2745,1561,,0,240
,6731,6733,,2,360
,10315,10295,,2,120
,2203,8065,,0,240
,8659,8679,,0,240
,9572,8852,,0,240
,11806,11802,,0,240
,5737,5641,,0,240
,318,361,,2,300
,11861,11858,,2,300
,11095,8761,,2,300
,6464,5601,,0,240
,12320,12231,,0,240
,8029,7827,,2,120
,11010,842,,0,240
,12953,12901,,0,240
,4496,409,,2,360
,2266,11906,,0,240
,8023,7736,,0,240
,8037,989,,2,120
,5725,5052,,0,240
,10890,10885,,0,240
,5262,10881,,0,240
,11525,1016,,2,360
,11799,11801,,0,240
,6458,5252,,2,120
,7207,5352,,0,240
,3816,8031,,2,120
,9022,11076,,0,240
,11526,11526,,0,240
,5634,5463,,2,300
,3898,3856,,2,360
,5542,6195,,2,360
,4882,985,,0,240
,11523,11523,,0,240
,8060,5769,,2,300
,8756,10971,,0,240
,1387,12318,,2,300
,442,497,,2,360
,5768,10881,,2,300
,301,12168,,2,300
,12947,8417,,2,360
,6077,5464,,0,240
,8035,95,,2,480
,12639,7745,,2,300
,11588,1231,,0,240
,8021,3904,,2,120
,8657,8691,,0,240
,3831,3855,,2,360
,3904,3195,,0,240
,13013,5543,,2,420
,4917,4917,,0,240
,9129,11523,,2,300
,4495,12535,,2,300
,13096,11707,,2,300
,10799,11280,,2,300
,5955,5830,,0,240
,4201,4189,,2,300
,5069,5869,,0,240
,4506,4506,,0,240
,11247,6753,,2,300
,11858,6077,,0,240
,13077,11388,,2,300
,11078,5474,,2,300
,11295,12716,,2,300
,3023,2692,,0,240
,6478,5410,,0,240
,11715,11714,,0,240
,2717,2671,,2,120
,11276,11258,,2,360
,4365,4188,,2,300
,5262,6467,,0,240
,12498,8029,,2,120
,497,497,,0,240
,6340,13013,,2,420
,8691,8691,,0,240
,11275,11311,,2,420
14905798,9665,9665,14905799,4,0
,12665,1160,,2,300
,4010,4010,,0,240
,1379,397,,0,240
,3394,8021,,2,120
,3385,8022,,2,120
,2833,2717,,0,240
,1355,1202,,0,240
,7869,11439,,2,300
,9505,8743,,2,360
,3927,7643,,0,240
,405,584,,0,240
,7835,10295,,0,240
,5494,8057,,0,240
,3140,3613,,2,300
,10866,12693,,2,120
,35,8038,,2,420
,5262,5494,,2,120
,3731,3731,,0,240
,4830,4061,,2,300
,11020,251,,0,240
,12647,7643,,0,240
,1231,11606,,0,240
,12022,12231,,0,240
,9720,5180,,0,240
,9576,6902,,2,300
,1173,2414,,0,240
,12155,5042,,0,240
,6459,5456,,0,240
,5516,11074,,0,240
,410,410,,0,240
,5593,11858,,0,240
,1711,1708,,0,240
,12975,11354,,2,360
,8039,8038,,2,360
,1042,11023,,0,240
,11287,11252,,0,240
,10893,12673,,2,300
,2833,1173,,0,240
14840359,11258,11258,14833391,4,0
,165,11500,,0,240
,10429,3023,,0,240
,2110,2123,,0,240
,11285,2051,,2,300
,12625,12626,,2,360
,3822,8022,,2,120
,12235,3904,,0,240
,6534,6534,,0,240
,6028,6124,,0,240
,6321,5547,,2,360
,6962,6988,,0,240
,10647,10648,,2,300
,12931,8936,,2,300
,8763,11588,,2,360
,5037,5725,,0,240
,6892,6838,,2,300
,10882,4016,,2,300
,3094,2622,,0,240
,8019,11441,,2,480
,11293,6630,,2,360
,5793,11882,,0,240
,11131,5683,,0,240
,10231,10331,,2,300
,1557,1469,,2,300
,12358,11794,,2,300
,8064,11713,,0,240
,9255,3965,,0,240
,4845,5230,,0,240
,12405,12409,,0,240
,8044,1231,,2,300
,3331,12267,,0,240
,12411,8068,,2,300
,2799,2692,,0,240
,709,659,,0,240
,6734,12546,,2,300
,2429,2478,,0,240
,12234,8032,,0,240
,4077,4077,,0,240
,6896,6599,,2,300
,5436,6088,,2,240
,10413,8922,,2,300
,2833,12409,,0,240
,915,1054,,2,300
,11534,11638,,2,360
,8066,10429,,0,240
,6881,6637,,0,240
,5464,5593,,0,240
,8922,10413,,2,300
,11403,329,,2,360
,3315,12272,,2,300
,3822,3822,,0,240
,5761,5834,,2,300
,256,12664,,0,240
,12655,10892,,0,240
,7029,7029,,0,240
,10034,10034,,0,240
,9174,3900,,0,240
,11942,8033,,2,120
,10833,10833,,0,240
,793,11022,,0,240
,3385,3478,,0,240
,10018,8697,,0,240
,6608,6605,,2,360
,25,11427,,0,240
,4243,4243,,0,240
,6902,9577,,0,240
,5498,11078,,2,360
,1971,1027,,2,300
,6019,11123,,2,300
,5557,5629,,0,240
,8283,8485,,2,480
,10429,2692,,2,120
,6006,6006,,0,240
,7281,7281,,0,240
,545,9136,,0,240
,12409,12406,,0,240
,11589,972,,0,240
,5045,10881,,0,240
,35,78,,2,360
,4218,4371,,0,240
,6080,4939,,0,240
,12405,8068,,0,240
,11010,793,,0,240
,5543,11704,,2,420
,2098,2098,,0,240
,3242,12228,,2,300
,11664,5183,,2,300
,1401,1401,,0,240
,7261,7328,,2,300
,12668,12891,,2,300
,5045,8060,,0,240
,8760,8673,,0,240
,10620,782,,2,300
,2489,2623,,2,300
,181,12602,,2,300
,8035,12036,,2,600
,7123,7125,,0,240
,12639,12636,,2,360
,5252,8055,,0,240
,10299,7666,,2,420
,2539,8048,,0,240
,2738,696,,2,360
,8047,1736,,0,240
,7070,7070,,0,240
,12444,7685,,2,300
,8022,3816,,2,120
,5498,11077,,2,360
,12764,11279,,2,360
,11911,1444,,0,240
,1875,2836,,0,240
,8060,6456,,0,240
,48,75,,0,240
,11807,11802,,0,240
,8041,11525,,2,300
,5180,5815,,2,360
,3904,3394,,0,240
,6223,6146,,0,240
,1444,11911,,0,240
,11860,11858,,0,240
,8689,8755,,0,240
,8922,7416,,2,300
,6482,8490,,2,360
,4191,4514,,0,240
,11806,11801,,0,240
,7643,3334,,0,240
,12950,12901,,0,240
,4329,11929,,2,300
,11108,3057,,0,240
,8326,6703,,0,240
,10891,10885,,0,240
,12548,12764,,2,300
,442,737,,2,600
,5997,5553,,2,120
,12318,1387,,2,300
,932,11279,,2,480
,1544,1061,,0,240
,6532,7001,,0,240
,7727,7827,,0,240
,5729,11133,,0,240
,11801,11808,,0,240
,10335,10349,,2,360
,11123,6019,,0,240
,4961,12794,,2,300
,10966,213,,0,240
,989,4568,,0,240
,5376,5341,,0,240
,3865,3865,,0,240
,6086,6086,,0,240
14877786,7572,7572,14877767,4,0
,9020,9492,,2,360
,5891,5122,,0,240
,4231,4239,,0,240
,2323,2323,,0,240
,9244,9244,,0,240
,2478,2476,,2,360
,785,1206,,2,300
,10887,10888,,0,240
,5464,5700,,0,240
,11627,4950,,2,600
,6727,7635,,2,120
,11302,859,,2,420
,11281,1586,,2,300
,1537,1308,,0,240
,10400,77,,0,240
,11122,5561,,0,240
,12230,11940,,0,240
,4845,4939,,0,240
,4722,10819,,0,240
,10023,10023,,0,240
,11526,77,,0,240
,8690,8691,,0,240
,11074,5516,,0,240
,10887,10886,,0,240
,9505,8674,,0,240
,911,11095,,0,240
,12208,9714,,2,360
,5093,5997,,0,240
,5797,5756,,0,240
,9634,6572,,0,240
,1852,1809,,2,300
,1362,10196,,2,480
,8071,1065,,0,240
,10867,12693,,0,240
,5703,5458,,2,360
,12233,12242,,2,360
,11874,12963,,2,360
,3927,3204,,0,240
,6197,6172,,2,300
,9577,6902,,0,240
,4440,4440,,0,240
,6340,5543,,2,300
14905811,12217,12217,14905812,4,0
,11253,11248,,0,240
,6175,6194,,0,240
,7478,7478,,0,240
,2692,3023,,0,240
,11697,12567,,2,540
,13004,12976,,2,300
,4243,4301,,0,240
,650,12668,,2,300
,3731,9397,,2,300
,10360,11221,,2,360
,11286,11252,,0,240
,8657,8755,,0,240
,892,1361,,0,240
,11860,6077,,0,240
,5633,6077,,0,240
,11284,2051,,2,300
,4973,4960,,2,120
,10889,10885,,0,240
,1320,2039,,0,240
,6000,5700,,0,240
,11398,11254,,2,300
,8031,3478,,2,120
,8759,11879,,2,480
,2847,2971,,0,240
,11629,5077,,2,480
,8854,13013,,0,240
,1391,1391,,0,240
,155,255,,0,240
,4355,4355,,0,240
,6174,5436,,0,240
,12057,12600,,2,300
,78,859,,2,360
,8488,6146,,2,300
,12410,8068,,0,240
,8604,11290,,2,300
,1633,1633,,0,240
,35,11441,,2,360
,3317,3298,,2,420
,12242,12232,,2,300
,5818,5813,,0,240
,8289,10470,,0,240
,12235,8032,,0,240
,2742,12318,,2,300
,5295,5960,,0,240
,8483,6781,,2,480
,30,30,,0,240
,2671,2717,,0,240
,5464,5633,,0,240
,5781,5797,,0,240
,1173,8049,,2,300
,5509,11860,,0,240
,6753,11243,,0,240
,1642,1660,,0,240
,1092,915,,0,240
,3155,12228,,0,240
,4750,10819,,0,240
,8485,8282,,0,240
,5445,5445,,0,240
,6667,6700,,2,360
,4360,4336,,2,360
,95,78,,0,240
,9291,9291,,0,240
,2646,3624,,0,240
,11943,8033,,2,120
,59,11113,,2,300
,13069,1391,,2,300
,397,397,,0,240
,10879,10882,,0,240
,7743,7727,,0,240
,2397,8052,,0,240
,6958,6958,,0,240
,11526,12036,,0,240
,7106,7108,,2,300
,8913,8916,,0,240
